Stage,Semester,Class,Topic,Grade,Password,Birth Place
lowerlevel,8,B,IT,C,PKe&Is2ajfELKh3,Kuwait
lowerlevel,4,D,IT,A,md_WZu)R6,Kuwait
lowerlevel,1,A,IT,C,mI4:F@-}#|@S=Vtl,Kuwait
lowerlevel,6,B,IT,A,.OpJxd,Kuwait
lowerlevel,4,C,IT,B,&Pjknf3)CZ*f,Kuwait
lowerlevel,7,C,IT,D,wtWx0+.0L^|P[{U,Kuwait
MiddleSchool,4,D,Math,F,G8L]Q~zK}]i6wtL,Kuwait
MiddleSchool,5,A,Math,F,%uK#4d-]ig#7'!DvMY?,Kuwait
MiddleSchool,1,B,Math,D,tC>0UiLCi,Kuwait
MiddleSchool,3,B,IT,B,IVi!sJ,Kuwait
MiddleSchool,1,A,Math,D,T4Apz)9(T;RGkA3/=,Kuwait
MiddleSchool,8,B,Math,S,7qr;z,Kuwait
lowerlevel,6,A,IT,B,)mD A,Kuwait
MiddleSchool,8,B,Math,F,uD09/HRk'o,Lebanon
MiddleSchool,2,B,Math,A,rI|GlAP<o%A,Kuwait
MiddleSchool,1,A,IT,S,ilrJg1]~&?CzOPLOz,Kuwait
MiddleSchool,8,B,IT,F, pnLJE1saTAW6$[,Kuwait
MiddleSchool,3,A,Math,C, dR=4gjg)4,Kuwait
MiddleSchool,5,B,IT,S,e3W/(vFN#{2zN_)6,Kuwait
MiddleSchool,8,A,IT,F,+3~:(b~,Kuwait
MiddleSchool,6,A,IT,B,@\bnS%N+!WzTmm;oy26,Kuwait
MiddleSchool,2,A,IT,D,zI!(`]2FZ)R,Kuwait
MiddleSchool,3,D,IT,A,/EuWl=,Kuwait
MiddleSchool,3,C,IT,F,~n>VVDv#++'C^6,Kuwait
MiddleSchool,3,C,IT,B,F4b\W7XW %@t,Kuwait
MiddleSchool,2,C,IT,C,_k/l_e#/_zwqx%R08W,Kuwait
MiddleSchool,1,D,IT,B,xf!2,Kuwait
MiddleSchool,5,A,Arabic,D,Hl&7)f]!NO/,Kuwait
MiddleSchool,1,A,Science,B,3bAgWx8}+b:zlJ]X,Kuwait
MiddleSchool,3,B,Arabic,A,> Iw}},Kuwait
MiddleSchool,6,A,Arabic,A,):CfE<<FWZC.;,Kuwait
